uid,Type,Producers,Studios,Source,Themes,Demographic,Duration,Favorites,Streaming Platforms
22293,Music,['add some'],['Pierrot'],Original,[],,2 min.,0,[]
5878,OVA,['Tezuka Productions'],['add some'],Unknown,[],,1 hr. 33 min.,2,[]
21055,Music,['add some'],['Ajia-do'],Unknown,"['Music', 'School']",,4 min.,1,[]
34367,TV Special,['add some'],['Actas'],Manga,[],Shounen,23 min.,0,[]
8333,ONA,['add some'],"['Yamamura Animation, Inc.']",Original,[],,5 min.,0,[]
31873,Music,['NHK'],['Creatures Inc.'],Original,[],Kids,4 min.,1,[]
28959,Special,['add some'],['add some'],Original,[],,1 min.,2,[]
3267,OVA,['Idea Factory'],['add some'],Game,[],,29 min. per ep.,1,[]
13827,Movie,['add some'],['add some'],Original,[],,2 min.,0,[]
37308,Movie,['add some'],['GoHands'],Original,"['Idols (Female)', 'Idols (Male)', 'Music', 'Parody']",,7 min. per ep.,10,[]
30392,Movie,['add some'],['Takun Manga Box'],Unknown,[],,13 min.,0,[]
1775,TV,"['Genco', 'Kadokawa Shoten', 'Pioneer LDC']",['Radix'],Original,[],,24 min. per ep.,12,[]
37543,ONA,['add some'],['add some'],Original,[],,4 min.,0,[]
39179,ONA,['add some'],['add some'],Original,[],,1 min.,0,[]
36097,ONA,['add some'],['Marza Animation Planet'],Original,[],,1 min.,0,[]
37265,ONA,"['Bandai Namco Entertainment', 'DMM.futureworks', 'Aoni Production']","['Passione', 'Creators in Pack']",Game,"['Military', 'Parody']",,7 min. per ep.,3,[]
32608,TV,"['VAP', 'Nippon Television Network', 'Nippon Television Music', 'Takara Tomy A.R.T.S', 'CyberAgent', 'Forecast Communications']","[""Brain's Base"", 'Lapin Track']",Original,[],,23 min. per ep.,68,[]
37148,ONA,['add some'],['A.C.G.T.'],Visual novel,[],,23 min.,4,[]
31300,Music,['add some'],['Trigger'],Original,[],,2 min.,7,[]
30091,TV,"['Sotsu', 'TOHO animation']","['SILVER LINK.', 'Connect']",Game,[],,24 min. per ep.,129,['Crunchyroll']
695,OVA,['KENMedia'],['Studio Kyuuma'],Visual novel,[],,30 min. per ep.,0,[]
28815,CM,['add some'],['add some'],Manga,[],,30 sec. per ep.,0,[]
35651,ONA,['add some'],['add some'],Game,"['Idols (Female)', 'Music']",,2 min. per ep.,0,[]
4021,TV,"['Dentsu', 'Fuji TV', 'Asmik Ace', 'Sony Music Entertainment', 'Shinshokan']","['Nippon Animation', 'Shirogumi']",Manga,"['Adult Cast', 'Workplace']",Shoujo,22 min. per ep.,110,[]
35784,Music,['NHK'],['add some'],Original,[],Kids,2 min.,0,[]
